Td	ID	Tj	Df	Dd	Db	
6	2007	3	1	2	3
6	2015	4	0	2	2
6	2006	3	1	2	3
7	2012	4	0	3	3
7	2004	1	3	3	6
8	2003	1	3	4	7
9	2009	3	1	5	6
9	2011	3	1	5	6
9	2017	4	1	4	5
9	2016	4	1	4	5
9	2010	3	2	4	6
9	2002	1	4	4	8
9	2001	1	4	4	8
10	2005	1	3	6	9
10	2008	3	1	6	7
10	2013	4	0	6	6
10	2023	7	0	3	3
10	2000	1	4	5	9
11	2028	9	0	2	2
11	2024	9	0	2	2
11	2014	4	1	6	7
12	2021	7	0	5	5
13	2022	7	0	6	6
13	2032	12	0	1	1
13	2026	9	0	4	4
13	2020	7	0	6	6
13	2018	7	0	6	6
13	2027	9	0	4	4
13	2029	9	0	4	4
14	2019	7	0	7	7
14	2025	9	0	5	5
14	2031	12	0	2	2
14	2034	12	0	2	2
14	2035	12	0	2	2
16	2030	12	0	4	4
19	2033	12	0	7	7
20	2038	19	0	1	1
21	2040	19	0	2	2
21	2041	19	0	2	2
23	2045	21	0	2	2
23	2036	19	0	4	4
24	2039	19	0	5	5
24	2047	21	0	3	3
24	2046	21	0	3	3
24	2043	21	0	3	3
24	2037	19	0	5	5
25	2042	21	0	4	4
25	2051	22	0	3	3
26	2050	22	0	4	4
27	2044	21	0	6	6
27	2049	22	0	5	5
27	2053	22	0	5	5
27	2052	22	0	5	5
27	2059	24	0	3	3
27	2048	22	0	5	5
28	2055	24	0	4	4
28	2062	26	0	2	2
29	2064	26	1	2	3
29	2065	26	0	3	3
29	2058	24	0	5	5
30	2069	28	0	2	2
30	2056	24	0	6	6
30	2054	24	0	6	6
30	2060	26	0	4	4
31	2067	28	0	3	3
32	2075	29	0	3	3
32	2078	30	0	2	2
32	2057	24	0	8	8
32	2070	28	0	4	4
33	2061	26	0	7	7
33	2071	28	0	5	5
33	2066	28	0	5	5
33	2063	26	0	7	7
33	2068	28	0	5	5
34	2080	30	0	4	4
34	2082	30	0	4	4
35	2076	29	0	6	6
35	2081	30	0	5	5
35	2083	30	0	5	5
35	2085	34	0	1	1
35	2077	29	0	6	6
35	2079	30	0	5	5
36	2089	34	0	2	2
37	2087	34	0	3	3
