Td	ID	Tj	Df	Dd	Db	
4	2004	1	1	2	3
5	2002	1	1	3	4
5	2006	1	1	3	4
5	2019	2	0	3	3
5	2007	1	1	3	4
6	2012	2	0	4	4
7	2013	2	0	5	5
7	2015	2	0	5	5
7	2016	2	0	5	5
7	2005	1	1	5	6
7	2017	2	0	5	5
7	2014	2	0	5	5
8	2025	5	0	3	3
8	2029	5	0	3	3
8	2023	5	0	3	3
8	2018	2	0	6	6
8	2010	2	0	6	6
8	2009	1	1	6	7
8	2008	1	1	6	7
8	2003	1	1	6	7
9	2011	2	0	7	7
9	2001	1	2	6	8
9	2000	1	2	6	8
10	2020	5	0	5	5
11	2027	5	0	6	6
11	2024	5	0	6	6
12	2022	5	0	7	7
12	2028	5	0	7	7
12	2021	5	0	7	7
12	15	3	0	9	9
13	2026	5	0	8	8
13	70	8	0	5	5
15	2031	12	0	3	3
16	2036	12	0	4	4
16	2030	12	0	4	4
17	2049	14	0	3	3
17	2044	14	0	3	3
17	2043	14	0	3	3
18	2055	15	0	3	3
18	2058	15	0	3	3
18	2039	12	0	6	6
18	2032	12	0	6	6
18	2037	12	0	6	6
19	2035	12	0	7	7
19	2034	12	0	7	7
19	2033	12	0	7	7
19	2038	12	0	7	7
20	2045	14	0	6	6
20	2047	14	0	6	6
21	2046	14	0	7	7
21	2053	15	0	6	6
21	2051	15	0	6	6
21	2040	14	0	7	7
21	2041	14	0	7	7
21	2059	15	0	6	6
22	2042	14	0	8	8
22	2048	14	0	8	8
22	2052	15	0	7	7
22	2056	15	0	7	7
22	2057	15	0	7	7
22	2050	15	0	7	7
22	110	16	0	6	6
22	9	2	0	20	20
23	2064	20	0	3	3
23	2061	20	0	3	3
23	49	6	0	17	17
23	113	17	0	6	6
23	115	17	0	6	6
23	76	9	0	14	14
24	2072	21	0	3	3
24	2071	21	0	3	3
24	2067	20	0	4	4
24	2054	15	0	9	9
24	20	3	0	21	21
24	105	16	0	8	8
24	10	2	0	22	22
24	103	16	0	8	8
24	8	2	0	22	22
24	42	6	0	18	18
24	117	17	0	7	7
24	65	8	0	16	16
24	18	3	0	21	21
24	94	14	0	10	10
25	79	9	0	16	16
25	19	3	0	22	22
25	104	16	0	9	9
25	51	7	0	18	18
25	89	10	0	15	15
25	78	9	0	16	16
25	60	7	0	18	18
25	16	3	0	22	22
25	71	9	0	16	16
25	27	4	0	21	21
25	21	4	0	21	21
25	47	6	0	19	19
25	2077	21	0	4	4
25	2079	21	0	4	4
26	2088	23	0	3	3
26	2082	23	0	3	3
26	2068	20	0	6	6
26	2066	20	0	6	6
26	2065	20	0	6	6
26	2062	20	0	6	6
26	2060	20	0	6	6
26	2073	21	0	5	5
26	4	2	0	24	24
26	90	10	0	16	16
26	37	5	0	21	21
26	127	18	0	8	8
26	26	4	0	22	22
26	2069	20	0	6	6
27	2081	23	0	4	4
27	2075	21	0	6	6
27	2063	20	0	7	7
27	2070	21	0	6	6
27	135	21	0	6	6
27	86	10	0	17	17
27	119	17	0	10	10
27	59	7	0	20	20
27	123	18	0	9	9
27	45	6	0	21	21
27	93	14	0	13	13
27	69	8	0	19	19
27	2078	21	0	6	6
28	2093	24	0	4	4
28	2106	25	0	3	3
28	2108	25	0	3	3
28	2107	25	0	3	3
28	157	24	0	4	4
28	34	5	0	23	23
28	155	24	0	4	4
29	2076	21	0	8	8
29	2083	23	0	6	6
29	2086	23	0	6	6
29	2109	25	0	4	4
29	2103	25	0	4	4
29	2100	25	0	4	4
30	2084	23	0	7	7
30	2087	23	0	7	7
30	2110	26	0	4	4
30	2126	27	0	3	3
30	2112	26	0	4	4
30	2074	21	0	9	9
30	160	24	0	6	6
30	2080	23	0	7	7
31	2122	27	0	4	4
31	2094	24	0	7	7
31	2085	23	0	8	8
31	30	4	0	27	27
31	25	4	0	27	27
31	6	2	0	29	29
31	95	14	0	17	17
31	97	14	0	17	17
31	54	7	0	24	24
31	48	6	0	25	25
31	39	5	0	26	26
31	43	6	0	25	25
31	64	8	0	23	23
31	66	8	0	23	23
31	168	26	0	5	5
32	2095	24	0	8	8
32	2096	24	0	8	8
32	2091	24	0	8	8
32	40	5	0	27	27
32	7	2	0	30	30
32	44	6	0	26	26
32	88	10	0	22	22
32	5	2	0	30	30
32	38	5	0	27	27
32	63	8	0	24	24
32	100	14	0	18	18
32	46	6	0	26	26
32	87	10	0	22	22
32	56	7	0	25	25
32	58	7	0	25	25
32	67	8	0	24	24
32	82	10	0	22	22
32	170	26	0	6	6
33	2097	24	0	9	9
33	167	26	0	7	7
33	2090	24	0	9	9
33	2092	24	0	9	9
33	2102	25	0	8	8
33	2104	25	0	8	8
33	2098	24	0	9	9
34	2099	24	0	10	10
34	2111	26	1	7	8
34	2115	26	1	7	8
34	2117	26	1	7	8
34	2113	26	0	8	8
34	2101	25	0	9	9
34	177	29	0	5	5
34	180	29	0	5	5
34	2114	26	1	7	8
34	2118	26	1	7	8
34	2105	25	0	9	9
35	2127	27	0	8	8
35	2116	26	1	8	9
35	2120	27	0	8	8
35	2129	27	0	8	8
35	2128	27	0	8	8
35	2125	27	0	8	8
35	2123	27	0	8	8
35	2089	23	0	12	12
36	2124	27	0	9	9
36	2132	33	0	3	3
36	2119	26	0	10	10
36	2121	27	0	9	9
37	2139	33	0	4	4
37	145	22	0	15	15
37	147	22	0	15	15
37	150	22	0	15	15
37	120	17	0	20	20
37	158	24	0	13	13
37	74	9	1	27	28
37	193	31	0	6	6
37	172	29	0	8	8
37	198	31	0	6	6
38	2145	35	0	3	3
38	2146	35	0	3	3
39	2150	36	0	3	3
39	2152	36	0	3	3
40	2153	36	0	4	4
40	2151	36	0	4	4
40	2133	33	0	7	7
40	2130	33	0	7	7
40	2141	35	0	5	5
41	2161	37	0	4	4
41	2179	38	0	3	3
41	2171	38	0	3	3
41	2138	33	0	8	8
