Td	ID	Tj	Df	Dd	Db	
2	4	1	1	0	1
2	6	1	1	0	1
2	3	1	1	0	1
2	5	1	1	0	1
2	7	1	1	0	1
2	1	1	1	0	1
2	2	1	1	0	1
6	9	6	0	0	0
6	11	6	0	0	0
6	14	6	0	0	0
6	10	6	0	0	0
6	12	6	0	0	0
6	8	6	0	0	0
7	17	7	0	0	0
7	18	7	0	0	0
7	19	7	0	0	0
7	20	7	0	0	0
7	21	7	0	0	0
7	13	6	0	1	1
7	16	7	0	0	0
8	26	8	0	0	0
8	25	8	0	0	0
8	27	8	0	0	0
8	23	8	0	0	0
8	28	8	0	0	0
8	22	8	0	0	0
12	34	12	0	0	0
12	29	12	0	0	0
12	31	12	0	0	0
12	33	12	0	0	0
12	30	12	0	0	0
12	35	12	0	0	0
16	39	16	0	0	0
16	40	16	0	0	0
16	36	16	0	0	0
16	41	16	0	0	0
16	37	16	0	0	0
18	47	18	0	0	0
18	48	18	0	0	0
18	45	18	0	0	0
18	49	18	0	0	0
18	46	18	0	0	0
19	55	19	0	0	0
19	51	19	0	0	0
19	54	19	0	0	0
19	50	19	0	0	0
19	56	19	0	0	0
19	52	19	0	0	0
19	53	19	0	0	0
20	57	20	0	0	0
20	63	20	0	0	0
21	62	20	0	1	1
21	60	20	0	1	1
21	61	20	0	1	1
21	58	20	0	1	1
23	15	7	0	16	16
23	24	8	0	15	15
23	32	12	0	11	11
23	44	18	0	5	5
23	38	16	0	7	7
23	43	18	0	5	5
23	42	16	0	7	7
23	59	20	0	3	3
23	65	23	0	0	0
23	67	23	0	0	0
24	71	24	0	0	0
24	72	24	0	0	0
24	70	23	0	1	1
24	75	24	0	0	0
24	64	23	0	1	1
24	74	24	0	0	0
24	69	23	0	1	1
25	79	25	0	0	0
25	80	25	0	0	0
25	82	25	0	0	0
25	77	24	0	1	1
25	76	24	0	1	1
25	73	24	0	1	1
25	83	25	0	0	0
27	90	27	0	0	0
27	88	27	0	0	0
27	89	27	0	0	0
27	85	27	0	0	0
28	93	28	0	0	0
28	94	28	0	0	0
28	97	28	0	0	0
28	98	28	0	0	0
28	92	28	0	0	0
29	103	29	0	0	0
29	99	29	0	0	0
29	105	29	0	0	0
29	100	29	0	0	0
29	102	29	0	0	0
29	104	29	0	0	0
31	107	31	0	0	0
31	111	31	0	0	0
31	106	31	0	0	0
31	91	27	0	4	4
31	87	27	0	4	4
31	96	28	0	3	3
31	84	25	0	6	6
31	101	29	0	2	2
31	81	25	0	6	6
31	109	31	0	0	0
31	110	31	0	0	0
31	112	31	0	0	0
32	117	32	0	0	0
32	113	32	0	0	0
32	118	32	0	0	0
32	116	32	0	0	0
32	114	32	0	0	0
32	115	32	0	0	0
33	119	32	0	1	1
34	120	34	0	0	0
34	121	34	0	0	0
34	122	34	0	0	0
34	125	34	0	0	0
34	126	34	0	0	0
35	130	35	0	0	0
35	131	35	0	0	0
36	132	35	0	1	1
36	133	35	0	1	1
36	135	36	0	0	0
36	129	35	0	1	1
36	136	36	0	0	0
36	140	36	0	0	0
36	128	35	0	1	1
36	137	36	0	0	0
36	139	36	0	0	0
37	143	37	0	0	0
37	147	37	0	0	0
37	134	36	0	1	1
37	146	37	0	0	0
37	142	37	0	0	0
37	144	37	0	0	0
38	149	38	0	0	0
38	141	37	0	1	1
38	150	38	0	0	0
38	145	37	0	1	1
38	153	38	0	0	0
38	152	38	0	0	0
40	156	40	0	0	0
40	157	40	0	0	0
40	161	40	0	0	0
40	158	40	0	0	0
40	159	40	0	0	0
40	160	40	0	0	0
40	155	40	0	0	0
40	123	34	0	6	6
40	124	34	0	6	6
40	127	35	0	5	5
40	148	38	0	2	2
40	154	38	0	2	2
40	138	36	0	4	4
40	86	27	0	13	13
40	78	25	0	15	15
40	95	28	0	12	12
40	151	38	0	2	2

Battle result: 	Loss

For Earth Army:
	 - ES_Total : 114 , ET_Total : 26 , EG_Total : 18
	 - DestructedES % : 100% , DestructedET %: 100% , DestructedEG % : 100%
	 - DestructedEU % : 100%
	 - Av_Df : 0.0443038 , Av_Dd : 1.13924 , Av_Db : 1.18354
	 - Df/Db % : 3.74332% , Dd/Db % : 96.2567%
	 - Total Healed Units : 13
	 - Healed Soldiers : 11	 , Fixed Tanks : 2
	 - Healing % : 8.22785%
	 - Infection % : 6.14035%

For Alien Army:
	 - AS_Total : 65 , AM_Total : 44 , AD_Total : 38
	 - DestructedAS % : 0% , DestructedAM %: 0% , DestructedAD % : 0%
	 - DestructedAU % : 0%
	 - Av_Df is Undefined , Av_Dd is Undefined , Av_Db is Undefined
	 - Df/Db % is Undefined , Dd/Db % is Undefined
