Td	ID	Tj	Df	Dd	Db	
7	2	1	3	3	6
9	2002	4	0	5	5
9	2000	4	0	5	5
11	2004	7	0	4	4
12	2005	7	0	5	5
14	2007	12	0	2	2
14	2006	12	0	2	2
15	2008	12	0	3	3
17	2003	7	0	10	10
18	2001	4	0	14	14
19	9	9	0	10	10
19	6	8	0	11	11
21	2009	19	0	2	2
23	2014	21	0	2	2
28	2012	21	0	7	7
29	2011	19	0	10	10
34	2019	28	0	6	6
34	7	9	0	25	25
35	2013	21	0	14	14
35	2015	26	0	9	9
37	2010	19	0	18	18
37	2017	26	0	11	11
42	26	26	3	13	16
44	2025	42	0	2	2
44	2020	28	0	16	16
46	39	38	4	4	8
50	2026	42	0	8	8
52	2016	26	1	25	26
52	2018	28	1	23	24
52	2021	36	1	15	16
52	2028	49	0	3	3
56	31	33	0	23	23
57	2022	36	1	20	21
58	2037	57	0	1	1
62	2027	49	2	11	13
63	2029	49	2	12	14
63	2033	55	0	8	8
63	2038	57	0	6	6
65	29	28	3	34	37
66	2046	63	0	3	3
66	2039	59	0	7	7
66	59	61	0	5	5
68	2030	50	3	15	18
68	2036	57	0	11	11
70	62	63	3	4	7
71	2035	55	1	15	16
71	2052	69	0	2	2
73	2049	66	0	7	7
73	2053	69	0	4	4
73	16	17	5	51	56
73	14	15	8	50	58
73	15	15	2	56	58
73	41	40	3	30	33
73	28	28	5	40	45
73	18	17	3	53	56
73	19	24	1	48	49
75	47	54	2	19	21
80	2057	79	0	1	1
81	2023	36	2	43	45
82	2024	42	1	39	40
82	60	61	3	18	21
83	2060	81	0	2	2
83	44	51	3	29	32
84	2043	61	3	20	23
85	2048	66	3	16	19
85	2062	81	0	4	4
87	64	72	3	12	15
88	2032	50	3	35	38
89	2044	61	3	25	28
89	51	55	6	28	34
93	66	72	3	18	21
97	2031	50	3	44	47
98	2055	78	4	16	20
100	38	38	3	59	62
100	52	56	3	41	44
100	34	34	7	59	66
100	12	12	1	87	88
100	36	34	3	63	66
100	30	28	3	69	72
100	17	17	3	80	83
100	32	33	2	65	67
100	8	9	0	91	91
100	5	8	0	92	92
100	20	24	1	75	76
100	11	12	16	72	88
100	33	33	0	67	67
100	56	59	0	41	41
101	2061	81	5	15	20
102	68	73	4	25	29
103	2056	78	4	21	25
110	2077	108	0	2	2
113	2041	59	3	51	54
115	119	112	0	3	3
