Td	ID	Tj	Df	Dd	Db	
3	4	1	2	0	2
3	2013	3	0	0	0
3	2011	3	0	0	0
3	2010	3	0	0	0
3	2012	3	0	0	0
3	2008	3	0	0	0
3	2009	3	0	0	0
3	4	1	2	0	2
3	5	1	2	0	2
4	3	1	2	1	3
5	2027	4	1	0	1
5	2025	4	1	0	1
5	11	4	1	0	1
6	2003	2	1	3	4
6	2043	5	1	0	1
6	2042	5	1	0	1
6	2035	5	0	1	1
6	2046	5	1	0	1
6	2031	4	1	1	2
6	2048	5	1	0	1
6	2041	5	1	0	1
6	2044	5	1	0	1
6	2045	5	1	0	1
6	20	5	1	0	1
7	2017	3	1	3	4
7	2062	7	0	0	0
7	2060	7	0	0	0
7	16	5	2	0	2
32	19	5	3	24	27
9	2076	8	1	0	1
9	2074	8	1	0	1
9	32	8	1	0	1
9	6	1	2	6	8
10	2052	6	1	3	4
10	2091	9	1	0	1
10	2084	9	0	1	1
10	2095	9	1	0	1
10	2080	8	1	1	2
10	2097	9	1	0	1
10	2090	9	1	0	1
10	2093	9	1	0	1
10	2094	9	1	0	1
10	41	9	1	0	1
11	2092	9	2	0	2
11	2066	7	1	3	4
11	2111	11	0	0	0
11	2109	11	0	0	0
11	37	9	2	0	2
12	2101	10	1	1	2
12	2115	11	1	0	1
12	28	6	2	4	6
13	2125	12	1	0	1
13	2123	12	1	0	1
13	53	12	1	0	1
14	2141	13	1	0	1
14	2140	13	1	0	1
14	2133	13	0	1	1
14	2144	13	1	0	1
14	2129	12	1	1	2
14	2146	13	1	0	1
14	2139	13	1	0	1
14	2142	13	1	0	1
14	2143	13	1	0	1
14	62	13	1	0	1
15	2160	15	0	0	0
15	2158	15	0	0	0
15	58	13	2	0	2
16	13	4	1	11	12
17	2150	14	1	2	3
17	2164	15	1	1	2
17	2174	16	1	0	1
17	2172	16	1	0	1
17	74	16	1	0	1
18	2190	17	1	0	1
18	2189	17	1	0	1
18	2182	17	0	1	1
18	2193	17	1	0	1
18	2178	16	1	1	2
18	2195	17	1	0	1
18	2188	17	1	0	1
18	2191	17	1	0	1
18	2192	17	1	0	1
18	83	17	1	0	1
19	2209	19	0	0	0
19	2207	19	0	0	0
19	79	17	2	0	2
20	2199	18	1	1	2
20	25	6	2	12	14
21	2223	20	1	0	1
21	2221	20	1	0	1
21	95	20	1	0	1
22	2213	19	1	2	3
22	2239	21	1	0	1
22	2238	21	1	0	1
22	2231	21	0	1	1
22	2242	21	1	0	1
22	2227	20	1	1	2
22	2244	21	1	0	1
22	2237	21	1	0	1
22	2240	21	1	0	1
22	2241	21	1	0	1
22	104	21	1	0	1
23	2258	23	0	0	0
23	2256	23	0	0	0
23	100	21	2	0	2
24	2248	22	1	1	2
24	67	14	10	0	10
25	2272	24	1	0	1
25	2270	24	1	0	1
25	116	24	1	0	1
26	2288	25	1	0	1
26	2287	25	1	0	1
26	2280	25	0	1	1
26	2291	25	1	0	1
26	2276	24	1	1	2
26	2293	25	1	0	1
26	2286	25	1	0	1
26	2289	25	1	0	1
26	2290	25	1	0	1
26	125	25	1	0	1
27	2262	23	1	3	4
27	2307	27	0	0	0
27	2305	27	0	0	0
27	121	25	2	0	2
28	2297	26	1	1	2
28	2311	27	1	0	1
28	49	10	7	11	18
29	2321	28	1	0	1
29	2319	28	1	0	1
29	137	28	1	0	1
30	2337	29	1	0	1
30	2336	29	1	0	1
30	2329	29	0	1	1
30	2340	29	1	0	1
30	2325	28	1	1	2
30	2342	29	1	0	1
30	2335	29	1	0	1
30	2338	29	1	0	1
30	2339	29	1	0	1
30	146	29	1	0	1
31	2356	31	0	0	0
31	2354	31	0	0	0
31	142	29	2	0	2
32	19	5	3	24	27
33	2370	32	1	0	1
33	2368	32	1	0	1
33	158	32	1	0	1
34	2346	30	1	3	4
34	2385	33	1	0	1
34	2378	33	0	1	1
34	2389	33	1	0	1
34	2374	32	1	1	2
34	2391	33	1	0	1
34	2384	33	1	0	1
34	2387	33	1	0	1
34	2388	33	1	0	1
34	167	33	1	0	1
35	2386	33	2	0	2
35	2360	31	1	3	4
35	2405	35	0	0	0
35	2403	35	0	0	0
35	163	33	2	0	2
36	2395	34	1	1	2
36	2409	35	1	0	1
36	35	8	5	23	28
37	2419	36	1	0	1
37	2417	36	1	0	1
37	179	36	1	0	1
38	2435	37	1	0	1
38	2434	37	1	0	1
38	2427	37	0	1	1
38	2438	37	1	0	1
38	2423	36	1	1	2
38	2440	37	1	0	1
38	2433	37	1	0	1
38	2436	37	1	0	1
38	2437	37	1	0	1
38	188	37	1	0	1
39	2454	39	0	0	0
39	2452	39	0	0	0
39	184	37	2	0	2

Battle result: 	Loss

For Earth Army:
	 - ES_Total : 129 , EG_Total : 11 , ET_Total : 18
	 - DestructedES % : 8% , DestructedEG % : 100% , DestructedET %: 100%
	 - DestructedEU % : 25%
	 - Av_Df : 4 , Av_Dd : 2 , Av_Db : 4
	 - Df/Db % : 40% , Dd/Db % : 59%

For Alien Army:
	 - AS_Total : 29 , AD_Total : 350 , AM_Total : 83
	 - DestructedAS % : 93% , DestructedAD % : 8% , DestructedAM %: 100%
	 - DestructedAU % : 30%
	 - Av_Df : 0 , Av_Dd : 0 , Av_Db : 1
	 - Df/Db % : 69% , Dd/Db % : 30%
