Td	ID	Tj	Df	Dd	Db	
2	5	1	1	0	1
2	14	2	0	0	0
2	15	2	0	0	0
2	8	1	1	0	1
2	9	1	1	0	1
3	26	3	0	0	0
3	22	3	0	0	0
4	25	3	1	0	1
5	2025	3	1	1	2
5	4	1	1	3	4
7	2022	3	0	4	4
7	50	5	2	0	2
8	36	4	1	3	4
8	51	6	2	0	2
9	39	4	2	3	5
10	29	3	1	6	7
10	10	1	2	7	9
10	11	2	1	7	8
11	68	7	4	0	4
14	90	9	5	0	5
14	56	6	3	5	8
14	57	6	3	5	8
14	40	4	2	8	10
15	23	3	1	11	12
15	98	10	5	0	5
16	2037	4	0	12	12
16	2	1	0	15	15
16	109	11	5	0	5
18	120	12	6	0	6
19	79	8	4	7	11
20	128	13	7	0	7
20	35	4	1	15	16
22	45	5	1	16	17
22	150	15	7	0	7
23	2046	5	0	18	18
24	2107	11	0	13	13
25	2057	6	1	18	19
25	2077	8	0	17	17
25	158	16	9	0	9
27	2197	20	0	7	7
27	106	11	5	11	16
27	180	18	9	0	9
28	188	19	9	0	9
29	76	8	4	17	21
30	6	1	1	28	29
31	2137	14	0	17	17
31	210	21	10	0	10
31	86	9	4	18	22
32	139	14	7	11	18
32	315	32	0	0	0
32	311	32	0	0	0
33	2116	12	2	19	21
33	2167	17	0	16	16
33	218	22	11	0	11
34	335	34	0	0	0
34	331	34	0	0	0
35	2227	23	0	12	12
35	240	24	11	0	11
36	241	25	11	0	11
36	355	36	0	0	0
36	351	36	0	0	0
37	104	11	5	21	26
38	251	26	12	0	12
39	85	9	4	26	30
39	166	17	9	13	22
39	169	17	9	13	22
39	18	2	1	36	37
42	279	28	14	0	14
43	2334	34	1	8	9
43	290	29	14	0	14
44	435	44	0	0	0
44	431	44	0	0	0
44	298	30	14	0	14
44	196	20	10	14	24
45	199	20	10	15	25
47	136	14	7	26	33
48	2434	44	1	3	4
49	485	49	0	0	0
49	481	49	0	0	0
49	37	4	2	43	45
50	146	15	7	28	35
50	334	34	16	0	16
51	2347	35	0	16	16
51	226	23	11	17	28
51	229	23	11	17	28
51	93	10	5	36	41
52	2314	32	5	15	20
52	349	35	17	0	17
53	101	11	4	38	42
54	2484	49	3	2	5
54	276	28	14	12	26
55	247	25	11	19	30
56	380	38	18	0	18
58	388	39	19	0	19
58	170	17	9	32	41
59	399	40	19	0	19
59	175	18	8	33	41
59	176	18	8	33	41
60	145	15	7	38	45
60	329	33	16	11	27
60	268	27	13	20	33
61	410	41	20	0	20
61	115	12	6	43	49
61	116	12	6	43	49
62	418	42	20	0	20
63	110	11	5	47	52
65	2176	18	4	43	47
66	2547	55	0	11	11
66	153	16	9	41	50
67	2146	15	3	49	52
67	460	46	21	0	21
67	205	21	9	37	46
68	309	31	15	22	37
68	468	47	21	0	21
69	314	32	15	22	37
70	2367	37	1	32	33
70	396	40	19	11	30
70	479	48	22	0	22
72	496	50	22	0	22
73	2497	50	1	22	23
73	499	50	23	0	23
73	338	34	16	23	39
73	221	23	11	39	50
74	510	51	23	0	23
76	2577	58	1	17	18
78	82	9	4	65	69
78	538	54	24	0	24
78	354	36	18	24	42
78	246	25	11	42	53
79	549	55	24	0	24
80	366	37	18	25	43
81	476	48	22	11	33
81	206	21	9	51	60
81	560	56	25	0	25
82	107	11	5	66	71
82	108	11	5	66	71
83	568	57	26	0	26
84	91	10	5	69	74
84	257	26	12	46	58
85	2086	9	1	75	76
85	2447	45	1	39	40
85	2307	31	0	54	54
86	195	20	10	56	66
86	46	5	2	79	81
86	21	3	1	82	83
86	63	7	3	76	79
86	579	58	28	0	28
86	167	17	9	60	69
87	285	29	14	44	58
87	286	29	14	44	58
87	320	32	15	40	55
88	75	8	4	76	80
88	31	4	1	83	84
88	598	60	28	0	28
89	12	2	1	86	87
89	71	8	3	78	81
91	2247	25	6	60	66
91	2677	68	1	22	23
91	620	62	29	0	29
92	628	63	29	0	29
93	369	37	19	37	56
93	429	43	20	30	50
95	2206	21	5	69	74
95	434	44	20	31	51
96	650	65	31	0	31
97	297	30	14	53	67
97	194	20	10	67	77
97	441	45	20	32	52
97	658	66	31	0	31
99	2427	43	1	55	56
99	400	40	19	40	59
99	669	67	32	0	32
100	306	31	15	54	69

Battle result: 	Drawn

For Earth Army:
	 - ES_Total : 688 , EG_Total : 1 , ET_Total : 13
	 - DestructedES % : 18% , DestructedEG % : 100% , DestructedET %: 100%
	 - DestructedEU % : 20%
	 - Av_Df : 15 , Av_Dd : 18 , Av_Db : 28
	 - Df/Db % : 180% , Dd/Db % : 65%

For Alien Army:
	 - AS_Total : 99 , AD_Total : 845 , AM_Total : 56
	 - DestructedAS % : 9% , DestructedAD % : 0% , DestructedAM %: 37%
	 - DestructedAU % : 3%
	 - Av_Df : 1 , Av_Dd : 24 , Av_Db : 26
	 - Df/Db % : 4% , Dd/Db % : 95%
